module,theory_id,classification_basis,notes
YuWangSamworth2015.Rectangular.FrobeniusGram,singular_subspace_gram_geometry,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Rectangular.RankBoundary,singular_subspace_gram_geometry,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Rectangular.RankOne,singular_subspace_gram_geometry,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Rectangular.SingularBlock,singular_subspace_gram_geometry,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Rectangular.Theorem4,yws_result_layer,human-reviewed exact module assignment,
YuWangSamworth2015.Symmetric.AngleIdentity,hilbert_subspace_geometry,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Symmetric.Corollary1,yws_result_layer,human-reviewed exact module assignment,
YuWangSamworth2015.Symmetric.MiddleBlockSharpness,yws_result_layer,human-reviewed exact module assignment,
YuWangSamworth2015.Symmetric.MixedGap,spectral_gap_variational,human-reviewed exact module assignment,Mathematical intermediate/foundation module within the YWS namespace; classified by content rather than by source namespace.
YuWangSamworth2015.Symmetric.OrthogonalSharpness,yws_result_layer,human-reviewed exact module assignment,
YuWangSamworth2015.Symmetric.PlanarSharpness,yws_result_layer,human-reviewed exact module assignment,
YuWangSamworth2015.Symmetric.Theorem1,yws_result_layer,human-reviewed exact module assignment,
YuWangSamworth2015.Symmetric.Theorem2,yws_result_layer,human-reviewed exact module assignment,
